Source,Target,Weight,Distancia,Duracao,,
"CARIDADE, CE",HGCC HOSPITAL GERAL DR CESAR CALS,3,92.20,1.67,,
"CARIDADE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,106.00,1.68,,
"CARIDADE, CE",HOSPITAL DE PEQUENO PORTE DE CARIDADE,1,12.80,0.48,,
"MERUOCA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,28.70,0.62,,
"MERUOCA, CE",HOSPITAL CHAGAS BARRETO,1,0.50,0.03,,
"MERUOCA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,270.00,3.85,,
"PENTECOSTE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,104.00,1.58,,
"PENTECOSTE, CE",HOSPITAL GERAL DR WALDEMAR ALCANTARA,1,107.00,1.65,,
"PENTECOSTE, CE",HOSPITAL HAROLDO JUACABA,1,89.10,1.48,,
"TABULEIRO DO NORTE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,200.00,2.85,,
"TABULEIRO DO NORTE, CE",HOSPITAL SAO RAIMUNDO,1,211.00,3.18,,
"TABULEIRO DO NORTE, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,212.00,3.15,,
"TABULEIRO DO NORTE, CE",HOSPITAL DISTRITAL DR FERNANDES TAVORA,1,216.00,3.38,,
"AIUABA, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,415.00,5.58,,
"AIUABA, CE",HOSPITAL DR ALBERTO FEITOSA LIMA,1,78.50,1.13,,
"AIUABA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,431.00,5.7,,
"AIUABA, CE",HOSPITAL HAROLDO JUACABA,1,415.00,5.58,,
"AIUABA, CE",HOSP NOSSA SRA DO PATROCINIO,1,1.50,0.07,,
"CEDRO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,384.00,5.25,,
"CEDRO, CE",HOSPITAL E MATERNIDADE ZULMIRA SEDRIN AGUIAR,1,0.60,0.03,,
"CHOROZINHO, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,69.80,1.23,,
"CHOROZINHO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,58.40,0.9,,
"CHOROZINHO, CE",HOSPITAL MUNICIPAL DE CHOROZINHO,1,1.00,0.02,,
"CHOROZINHO, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,70.30,1.18,,
"GRANJA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,340.00,4.5,,
"GRANJA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,99.60,1.53,,
"GRANJA, CE",HOSPITAL DEPUTADO MURILO AGUIAR,1,26.00,0.42,,
"GUAIUBA, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,45.70,1.07,,
"GUAIUBA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,45.50,0.83,,
"GUAIUBA, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,50.20,1.13,,
"ITATIRA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,227.00,3.2,,
"ITATIRA, CE",HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA,1,213.00,3.05,,
"ITATIRA, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,213.00,3.17,,
"TAMBORIL, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,286.00,3.83,,
"TAMBORIL, CE",HOSPITAL MUNICIPAL RAIMUNDA TIMBO CAMELO TAMBORIL,1,0.70,0.02,,
"TAMBORIL, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,300.00,3.85,,
"TAMBORIL, CE",HOSPITAL HAROLDO JUACABA,2,284.00,3.73,,
"URUBURETAMA, CE",IJF INSTITUTO DR JOSE FROTA CENTRAL,1,116.00,1.97,,
"URUBURETAMA, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,1,602.00,8.58,,
"URUBURETAMA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,129.00,1.95,,
"URUBURETAMA, CE",HOSPITAL GERAL DR WALDEMAR ALCANTARA,2,132.00,2.03,,
"URUBURETAMA, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,116.00,1.93,,
"BARREIRA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,74.70,1.17,,
"BARREIRA, CE",HOSPITAL HAROLDO JUACABA,1,72.90,1.43,,
"BARREIRA, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,86.10,1.52,,
"BEBERIBE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,75.80,1.13,,
"BEBERIBE, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,84.00,1.43,,
"BEBERIBE, CE",HOSPITAL GERAL DR WALDEMAR ALCANTARA,1,67.70,1.02,,
"BEBERIBE, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,88.50,1.65,,
"BEBERIBE, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,78.40,1.32,,
"CROATA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,351.00,4.92,,
"CROATA, CE",SANTA CASA DE MISERICORDIA DE FORTALEZA,1,338.00,4.97,,
"ITAREMA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,138.00,1.87,,
"ITAREMA, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,219.00,3.13,,
"ITAREMA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,223.00,2.97,,
"ITAREMA, CE",HOSP MUNICIPAL NATERCIA JUNIOR RIOS,1,0.70,0.03,,
"QUIXERAMOBIM, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,202.00,2.75,,
"QUIXERAMOBIM, CE",HOSPITAL GERAL DR WALDEMAR ALCANTARA,4,205.00,2.83,,
"QUIXERAMOBIM, CE",HOSPITAL HAROLDO JUACABA,1,245.00,3.42,,
"QUIXERAMOBIM, CE",HOSPITAL REGIONAL DR PONTES NETO,3,2.00,0.12,,
"SAO BENEDITO, CE",HOSPITAL MATERNIDADE MADALENA NUNES,1,43.10,0.78,,
"SAO BENEDITO, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,89.60,1.52,,
"SAO BENEDITO, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,328.00,4.55,,
"SAO BENEDITO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,340.00,4.75,,
"CAMOCIM, CE",HOSPITAL DEPUTADO MURILO AGUIAR,1,11.00,0.02,,
"CAMOCIM, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,366.00,4.9,,
"CAMOCIM, CE",HOSPITAL HAROLDO JUACABA,1,352.00,4.7,,
"CAMOCIM, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,126.00,1.92,,
"PARACURU, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,91.90,1.52,,
"PARACURU, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,103.00,1.63,,
"PARACURU, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,89.40,1.43,,
"PARACURU, CE",HOSPITAL HAROLDO JUACABA,1,89.00,1.43,,
"PENAFORTE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,532.00,7.38,,
"PENAFORTE, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,79.90,1.3,,
"REDENCAO, CE",HOSP MATERN PAULO SARASATE,1,76.00,1.38,,
"REDENCAO, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,61.90,1.25,,
"REDENCAO, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,71.20,1.43,,
"REDENCAO, CE",HOSPITAL HAROLDO JUACABA,1,62.80,1.3,,
"REDENCAO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,66.50,1.13,,
"SAO PAULO, SP",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,3102.00,1.67,,
"ALTO SANTO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,236.00,3.25,,
"ALTO SANTO, CE",HOSPITAL SAO RAIMUNDO,1,246.00,3.58,,
"ARNEIROZ, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,396.00,5.53,,
"ARNEIROZ, CE",HOSPITAL DR ALBERTO FEITOSA LIMA,1,45.70,0.7,,
"CARIRIACU, CE",HOSPITAL HAROLDO JUACABA,1,468.00,6.72,,
"CARIRIACU, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,455.00,6.37,,
"CARIRIACU, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,467.00,6.72,,
"CARIRIACU, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,39.10,0.9,,
"CARIRIACU, CE",HOSPITAL REGIONAL DO CARIRI,1,28.90,0.67,,
"CARIRIACU, CE",HOSPITAL DO CORACAO DO CARIRI,1,39.90,0.92,,
"IBIAPINA, CE",HOSPITAL MATERNIDADE MADALENA NUNES,1,25.90,0.5,,
"IBIAPINA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,72.70,1.2,,
"IBIAPINA, CE",HOSPITAL MUNICIPAL MARIA WANDERLENE NEGREIROS DE QUEIROZ,1,0.40,0.02,,
"RERIUTABA, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,276.00,3.78,,
"RERIUTABA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,69.00,1.08,,
"RERIUTABA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,289.00,3.8,,
"VARZEA ALEGRE, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,437.00,6.2,,
"VARZEA ALEGRE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,425.00,5.87,,
"VARZEA ALEGRE, CE",HOSPITAL HAROLDO JUACABA,1,438.00,6.22,,
"VARZEA ALEGRE, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,437.00,6.15,,
"VARZEA ALEGRE, CE",HOSPITAL SAO RAIMUNDO,1,436.00,6.18,,
"VARZEA ALEGRE, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,100.00,1.72,,
"VARZEA ALEGRE, CE",HOSPITAL DO CORACAO DO CARIRI,1,101.00,1.73,,
"AMONTADA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,181.00,2.7,,
"CARIRE, CE",HOSPITAL MUNICIPAL DE CARIRE,1,0.30,0.02,,
"CARIRE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,282.00,3.9,,
"CARIRE, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,278.00,3.75,,
"CARIRE, CE",HOSPITAL HAROLDO JUACABA,1,275.00,3.68,,
"JARDIM, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,533.00,7.78,,
"JARDIM, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,36.80,0.57,,
"JARDIM, CE",HOSPITAL MUNICIPAL DE JARDIM,1,12.40,0.35,,
"JARDIM, CE",HOSPITAL DO CORACAO DO CARIRI,1,35.80,0.53,,
"JIJOCA DE JERICOACOARA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,309.00,4.65,,
"JIJOCA DE JERICOACOARA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,164.00,2.72,,
"CARIUS, CE",HOSPITAL BATISTA MEMORIAL,1,401.00,5.68,,
"GUARACIABA DO NORTE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,314.00,4.28,,
"GUARACIABA DO NORTE, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,93.30,1.52,,
"ICO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,349.00,4.75,,
"ICO, CE",HOSPITAL REGIONAL DE ICO DEPUTADO ORIEL GUIMARAES NUNES,2,1.00,0.02,,
"ICO, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,360.00,5.1,,
"ICO, CE",HOSPITAL HAROLDO JUACABA,1,361.00,5.1,,
"ICO, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,365.00,5.27,,
"ICO, CE",HOSPITAL REGIONAL DO CARIRI,1,152.00,2.48,,
"ICO, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,170.00,2.68,,
"ICO, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,361.00,5.05,,
"PINDORETAMA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,41.60,0.7,,
"PINDORETAMA, CE",HOSPITAL HAROLDO JUACABA,1,50.50,1.05,,
"PORANGA, CE",HOSP MUNIC FRANC ANTONIO DE PINHO,1,0.40,0.02,,
"PORANGA, CE",HOSPITAL SAO LUCAS,1,4034.00,51,,
"PORANGA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,361.00,5.07,,
"TRAIRI, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,138.00,2.05,,
"TRAIRI, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,2,123.00,1.77,,
"TRAIRI, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,1,618.00,9.07,,
"TRAIRI, CE",HOSPITAL HAROLDO JUACABA,1,124.00,1.85,,
"ITAPAGE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,143.00,2.1,,
"ITAPAGE, CE",HOSPITAL HAROLDO JUACABA,1,127.00,1.98,,
"ABAIARA, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,41.60,0.72,,
"ABAIARA, CE",HOSPITAL REGIONAL DO CARIRI,1,51.70,0.88,,
"ACARAU, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,246.00,3.5,,
"ACARAU, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,250.00,3.33,,
"ACARAU, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,235.00,3.05,,
"ACARAU, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,111.00,1.62,,
"ACARAU, CE",HOSPITAL HAROLDO JUACABA,1,236.00,3.13,,
"ACARAU, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,236.00,3.13,,
"ACARAU, CE",HOSPITAL GERAL DR WALDEMAR ALCANTARA,1,252.00,3.42,,
"APUIARES, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,130.00,2.27,,
"APUIARES, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,118.00,1.97,,
"APUIARES, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3,132.00,1.98,,
"JAGUARETAMA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,234.00,3.17,,
"JAGUARETAMA, CE",HOSPITAL E CASA DE SAUDE DE RUSSAS,1,131.00,1.75,,
"JUCAS, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,398.00,5.7,,
"JUCAS, CE",HOSPITAL HAROLDO JUACABA,1,400.00,5.72,,
"JUCAS, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,387.00,5.35,,
"JUCAS, CE",HOSPITAL MUNICIPAL JOSE FACUNDO FILHO,1,1.50,0.07,,
"MORAUJO, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,61.70,0.9,,
"MORAUJO, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,304.00,4.1,,
"MUCAMBO, CE",HOSPITAL MUNICIPAL SENADOR CARLOS JEREISSATI,1,365.00,4.95,,
"MUCAMBO, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,52.60,0.75,,
"BAIXIO, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,419.00,6.1,,
"BAIXIO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,402.00,5.57,,
"BAIXIO, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,135.00,2.28,,
"BODOCO, PE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,597.00,8.42,,
"COREAU, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,51.10,0.75,,
"COREAU, CE",HOSPITAL FERNANDO TELES CAMILO,1,0.40,0.02,,
"SALITRE, CE",HOSPITAL DE PEQUENO PORTE SAO FRANCISCO SALITRE,1,0.50,0.02,,
"SALITRE, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,2,161.00,2.58,,
"SANTANA DO ACARAU, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,40.40,0.6,,
"SANTANA DO ACARAU, CE",HOSPITAL SENADOR OZIRES PONTES,1,23.50,0.45,,
"SANTANA DO ACARAU, CE",HOSPITAL HAROLDO JUACABA,1,242.00,3.38,,
"AURORA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,434.00,6.02,,
"AURORA, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,81.90,1.65,,
"ITAICABA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,156.00,2.18,,
"OCARA, CE",HOSPITAL E MATERNIDADE FRANCISCO RAIMUNDO MARCOS,1,0.10,0.02,,
"OCARA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,91.30,1.35,,
"OCARA, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,103.00,1.7,,
"OCARA, CE",HOSPITAL HAROLDO JUACABA,1,104.00,1.7,,
"PEREIRO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,317.00,4.37,,
"ANTONINA DO NORTE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,468.00,6.27,,
"QUITERIANOPOLIS, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,304.00,4.05,,
"QUITERIANOPOLIS, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,422.00,5.57,,
"SANTANA DO CARIRI, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,70.90,1.27,,
"SAO LUIS DO CURU, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,95.80,1.45,,
"SAO LUIS DO CURU, CE",HOSPITAL HAROLDO JUACABA,1,80.50,1.35,,
"SAO LUIS DO CURU, CE",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,80.90,1.33,,
"TIANGUA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,336.00,4.7,,
"TIANGUA, CE",HOSPITAL MATERNIDADE MADALENA NUNES,1,1.00,0.07,,
"TIANGUA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,88.80,1.37,,
"TIANGUA, CE",HOSPITAL HAROLDO JUACABA,1,328.00,4.48,,
"UMIRIM, CE",HGF HOSPITAL GERAL DE FORTALEZA,2,108.00,1.88,,
"UMIRIM, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,109.00,1.62,,
"UMIRIM, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO,1,597.00,8.32,,
"UMIRIM, CE",HOSPITAL HAROLDO JUACABA,1,93.50,1.5,,
"FORTIM, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,129.00,1.92,,
"FORTIM, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,126.00,1.72,,
"FORTIM, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,134.00,2.07,,
"PARAMBU, CE",HOSPITAL DR ALBERTO FEITOSA LIMA,1,64.40,0.93,,
"PARAMBU, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,418.00,5.53,,
"BELA CRUZ, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,100.00,1.52,,
"BELA CRUZ, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,4,244.00,3.63,,
"BELA CRUZ, CE",HOSPITAL HAROLDO JUACABA,1,236.00,3.42,,
"BELA CRUZ, CE",HOSPITAL MUNICIPAL DE BELA CRUZ,1,1.00,0.02,,
"CRUZEIRO DO SUL, AC",HOSPITAL UNIVERSITARIO WALTER CANTIDIO,1,4824.00,72,,
"MASSAPE, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,20.20,0.42,,
"MASSAPE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,261.00,3.58,,
"PALHANO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,145.00,2.18,,
"PALHANO, CE",HOSPITAL E CASA DE SAUDE DE RUSSAS,1,35.00,0.57,,
"TEJUCUOCA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,157.00,2.13,,
"BARRO, CE",HOSPITAL DO CORACAO DO CARIRI,1,118.00,2.12,,
"BARRO, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,117.00,2.1,,
"BARRO, CE",HOSPITAL REGIONAL DO CARIRI,2,107.00,1.87,,
"GUARAMIRANGA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,119.00,1.93,,
"GUARAMIRANGA, CE",HOSPITAL HAROLDO JUACABA,1,103.00,1.82,,
"ASSARE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,456.00,6.62,,
"ASSARE, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,107.00,1.77,,
"CATUNDA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,126.00,1.6,,
"CATUNDA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,272.00,3.5,,
"CATUNDA, CE",HOSPITAL MUNICIPAL DE CATUNDA FRANCISCA GONCALVES DE OLIVEIR,1,1.00,0.02,,
"IRAUCUBA, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,167.00,2.73,,
"IRAUCUBA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,168.00,2.47,,
"IRAUCUBA, CE",HOSPITAL MUNICIPAL DR PEDRO DE CASTRO MARINHO,1,0.90,0.05,,
"IRAUCUBA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,79.20,1.15,,
"JATI, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,512.00,7.08,,
"JATI, CE",HOSPITAL DO CORACAO DO CARIRI,1,72.60,1.23,,
"MADALENA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,209.00,2.93,,
"PACOTI, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,116.00,1.85,,
"PARAIPABA, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,96.10,1.53,,
"PARAIPABA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,107.00,1.65,,
"PARAIPABA, CE",HOSPITAL GERAL DR WALDEMAR ALCANTARA,1,110.00,1.73,,
"PARAIPABA, CE",HOSPITAL DISTRITAL DR FERNANDES TAVORA,1,92.00,1.38,,
"IBARETAMA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,131.00,1.82,,
"IBARETAMA, CE",CRIO CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,1,148.00,2.33,,
"IBARETAMA, CE",HOSPITAL E MATERNIDADE FRANCISCO RAIMUNDO MARCOS,1,47.70,0.65,,
"MORRINHOS, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,69.80,0.98,,
"MORRINHOS, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,221.00,3.25,,
"IBICUITINGA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,2,184.00,2.52,,
"IBICUITINGA, CE",HOSPITAL MUNICIPAL DR EUDASIO BARROSO HMEB,1,44.20,0.65,,
"QUIXERE, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,197.00,3.12,,
"QUIXERE, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,185.00,2.77,,
"QUIXERE, CE",HOSPITAL HAROLDO JUACABA,1,198.00,3.12,,
"QUIXERE, CE",HOSPITAL SAO RAIMUNDO,1,196.00,3.1,,
"ARACOIABA, CE",HGCC HOSPITAL GERAL DR CESAR CALS,1,83.50,1.62,,
"ARACOIABA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,85.20,1.37,,
"ARACOIABA, CE",HOSP MATERN SANTA IZABEL ARACOIABA,1,1.00,0.02,,
"FRECHEIRINHA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,54.20,0.77,,
"FRECHEIRINHA, CE",HOSP MATERN MENINO JESUS DE PRAGA,1,0.50,0.03,,
"GENERAL SAMPAIO, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,140.00,1.92,,
"PARAMOTI, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,114.00,1.57,,
"IRACEMA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,273.00,3.8,,
"IRACEMA, CE",HOSPITAL E MATERNIDADE MARIA ROQUE DE MACEDO,1,0.40,0.02,,
"IRACEMA, CE",HOSPITAL HAROLDO JUACABA,1,286.00,4.15,,
"IRACEMA, CE",HGF HOSPITAL GERAL DE FORTALEZA,1,285.00,4.1,,
"MILAGRES, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,3,467.00,6.42,,
"MILAGRES, CE",HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,1,48.40,0.9,,
"MILAGRES, CE",IMTAVI,1,22.00,0.38,,
"MILAGRES, CE",HOSPITAL MUNICIPAL NOSSA SENHORA DOS MILAGRES,1,0.80,0.03,,
"FORQUILHA, CE",SANTA CASA DE MISERICORDIA DE SOBRAL,1,18.60,0.33,,
"FORQUILHA, CE",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,227.00,3.23,,
"CANDEIAS DO JAMARI, RO",HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES,1,3711.00,56.13,,
