COD,MUNIC
350560,"BARRINHA, SP"
310010,"ABADIA DOS DOURADOS, MG"
290020,"ABARE, BA"
170025,"ABREULANDIA, TO"
220005,"ACAUA, PI"
520020,"AGUA LIMPA, GO"
310080,"AGUANIL, MG"
350060,"AGUAS DE SAO PEDRO, SP"
420060,"AGUAS MORNAS, SC"
170030,"AGUIARNOPOLIS, TO"
260060,"ALAGOINHA, PE"
250053,"ALCANTIL, PB"
430030,"ALECRIM, RS"
310150,"ALEM PARAIBA, MG"
520030,"ALEXANIA, GO"
250057,"ALGODAO DE JANDAIRA, PB"
290090,"ALMADINA, BA"
310180,"ALPERCATA, MG"
211107,"SAO JOAO DO SOTER, MA"
211110,"SAO JOAO DOS PATOS, MA"
316292,"SAO JOAQUIM DE BICAS, MG"
412530,"SAO JORGE DO IVAI, PR"
316294,"SAO JOSE DA BARRA, MG"
251455,"SAO JOSE DE PRINCESA, PB"
412440,"SANTO ANTONIO DO SUDOESTE, PR"
292880,"SANTO ESTEVAO, BA"
412450,"SANTO INACIO, PR"
316070,"SANTOS DUMONT, MG"
316080,"SAO BENTO ABADE, MG"
430237,"BOM PROGRESSO, RS"
430240,"BOM RETIRO DO SUL, RS"
310810,"BONFIM, MG"
520355,"BONFINOPOLIS, GO"
500220,"BONITO, MS"
310825,"BONITO DE MINAS, MG"
410330,"BORRAZOPOLIS, PR"
350750,"BOTUCATU, SP"
420280,"BRACO DO NORTE, SC"
410335,"BRAGANEY, PR"
500230,"BRASILANDIA, MS"
310860,"BRASILIA DE MINAS, MG"
210210,"BREJO, MA"
210215,"BREJO DE AREIA, MA"
280070,"BREJO GRANDE, SE"
150180,"BREVES, PA"
350780,"BRODOWSKI, SP"
150190,"BUJARU, PA"
350520,"BARIRI, SP"
310110,"AIMORES, MG"
290120,"ANAGE, BA"
230130,"ARARIPE, CE"
350395,"ASPASIA, SP"
261530,"TIMBAUBA, PE"
354910,"SAO JOAO DA BOA VISTA, SP"
261220,"SALGUEIRO, PE"
510560,"MATUPA, MT"
521210,"JOVIANIA, GO"
150345,"IPIXUNA DO PARA, PA"
330180,"ENGENHEIRO PAULO DE FRONTIN, RJ"
280150,"CARMOPOLIS, SE"
290350,"BELO CAMPO, BA"
210020,"ALCANTARA, MA"
261460,"TABIRA, PE"
220690,"NOVO ORIENTE DO PIAUI, PI"
351620,"FRANCA, SP"
320225,"GOVERNADOR LINDENBERG, ES"
520070,"ALVORADA (TRANSF. P/TO), GO"
520100,"ANANAS (TRANSF. P/TO), GO"
520190,"ARAGUACEMA (TRANSF. P/TO), GO"
520210,"ARAGUAINA (TRANSF. P/TO), GO"
520230,"ARAPOEMA (TRANSF. P/TO), GO"
520270,"AURORA DO NORTE (TRANSF. P/TO), GO"
520300,"BABACULANDIA (TRANSF. P/TO), GO"
520370,"BREJINHO DE NAZARE (TRANSF. P/TO), GO"
313140,"IPIACU, MG"
291400,"IPIRA, BA"
431046,"IPIRANGA DO SUL, RS"
521020,"IPORA, GO"
510562,"MIRASSOL D'OESTE, MT"
500540,"MARACAJU, MS"
291970,"MACARANI, BA"
352850,"MAIRIPORA, SP"
250780,"JUNCO DO SERIDO, PB"
230700,"JAGUARUANA, CE"
420890,"JARAGUA DO SUL, SC"
260760,"ILHA DE ITAMARACA, PE"
291390,"IPIAU, BA"
291460,"IRECE, BA"
420640,"GUARACIABA, SC"
520890,"GOIAS, GO"
430807,"FAZENDA VILANOVA, RS"
250530,"CURRAL VELHO, PB"
220300,"CRISTALANDIA DO PIAUI, PI"
130130,"CODAJAS, AM"
410440,"CANDIDO DE ABREU, PR"
310890,"BRAZOPOLIS, MG"
250190,"BELEM, PB"
280060,"BARRA DOS COQUEIROS, SE"
430005,"AGUA SANTA, RS"
230090,"APUIARES, CE"
260120,"ARCOVERDE, PE"
211167,"SAO ROBERTO, MA"
314140,"MEDINA, MG"
431244,"MORRINHOS DO SUL, RS"
421125,"MORRO GRANDE, SC"
240800,"MOSSORO, RN"
150490,"MUANA, PA"
430064,"AMETISTA DO SUL, RS"
430105,"ARROIO DO SAL, RS"
430107,"ARROIO DO PADRE, RS"
430130,"ARROIO GRANDE, RS"
430215,"BOA VISTA DAS MISSOES, RS"
430222,"BOA VISTA DO CADEADO, RS"
430290,"CACEQUI, RS"
430320,"CACIQUE DOBLE, RS"
430500,"CATUIPE, RS"
430642,"DOIS IRMAOS DAS MISSOES, RS"
430676,"ELDORADO DO SUL, RS"
430705,"ERNESTINA, RS"
500215,"BODOQUENA, MS"
310350,"ARAGUARI, MG"
411980,"PLANALTO, PR"
291760,"JAGUAQUARA, BA"
311010,"CAIANA, MG"
510336,"CONQUISTA D'OESTE, MT"
520040,"ALMAS (TRANSF. P/TO), GO"
520200,"ARAGUACU (TRANSF. P/TO), GO"
520220,"ARAGUATINS (TRANSF. P/TO), GO"
520240,"ARRAIAS (TRANSF. P/TO), GO"
520290,"AXIXA DE GOIAS (TRANSF. P/TO), GO"
520950,"GURUPI (TRANSF. P/TO), GO"
521070,"ITAGUATINS (TRANSF. P/TO), GO"
521320,"MIRACEMA DO NORTE (TRANSF. P/TO), GO"
521360,"MONTE DO CARMO (TRANSF. P/TO), GO"
521430,"NAZARE (TRANSF. P/TO), GO"
521610,"PARAISO DO NORTE DE GOIAS (TRANSF. P/TO), GO"
521660,"PEIXE (TRANSF. P/TO), GO"
431453,"PINTO BANDEIRA (EXTINTO), RS"
521790,"PONTE ALTA DO NORTE (TRANSF. P/TO), GO"
355360,"TAPIRATIBA, SP"
355365,"TAQUARAL, SP"
432135,"TAVARES, RS"
251670,"TEIXEIRA, PB"
110155,"TEIXEIROPOLIS, RO"
241410,"TENENTE ANANIAS, RN"
293140,"TEODORO SAMPAIO, BA"
412720,"TERRA BOA, PR"
412730,"TERRA RICA, PR"
510810,"TESOURO, MT"
410570,"CLEVELANDIA, PR"
220270,"COCAL, PI"
220272,"COCAL DOS ALVES, PI"
210340,"COELHO NETO, MA"
320150,"COLATINA, ES"
430558,"COLINAS, RS"
171670,"COLMEIA, TO"
430560,"COLORADO, RS"
311680,"COLUNA, MG"
311700,"COMERCINHO, MG"
311720,"CONCEICAO DAS PEDRAS, MG"
120017,"CAPIXABA, AC"
430471,"CARAA, RS"
311300,"CARAI, MG"
311310,"CARANAIBA, MG"
330093,"CARAPEBUS, RJ"
240230,"CARAUBAS, RN"
430470,"CARAZINHO, RS"
330115,"CARDOSO MOREIRA, RJ"
230310,"CARIRE, CE"
353910,"PIRAPORA DO BOM JESUS, SP"
353930,"PIRASSUNUNGA, SP"
353950,"PITANGUEIRAS, SP"
320420,"PIUMA, ES"
411970,"PLANALTINA DO PARANA, PR"
421315,"PLANALTO ALEGRE, SC"
353980,"POA, SP"
251200,"POCINHOS, PB"
251207,"POCO DE JOSE DE MOURA, PB"
292510,"POCOES, BA"
292520,"POJUCA, BA"
240170,"BOM JESUS, RN"
230205,"BARROQUINHA, CE"
150090,"AUGUSTO CORREA, PA"
290240,"AURELINO LEAL, BA"
230170,"AURORA, CE"
350440,"AVANHANDAVA, SP"
220110,"AVELINO LOPES, PI"
170300,"BABACULANDIA, TO"
210130,"BACURI, MA"
430160,"BAGE, RS"
240140,"BAIA FORMOSA, RN"
430163,"BALNEARIO PINHAL, RS"
230185,"BANABUIU, CE"
310530,"BANDEIRA DO SUL, MG"
350500,"BARAO DE ANTONINA, SP"
510160,"BARAO DE MELGACO, MT"
230190,"BARBALHA, CE"
240150,"BARCELONA, RN"
220540,"JOAQUIM PIRES, PI"
313650,"JORDANIA, MG"
313655,"JOSE RAYDAN, MG"
313657,"JOSENOPOLIS, MG"
250760,"JUAREZ TAVORA, PB"
250770,"JUAZEIRINHO, PB"
230740,"JUCAS, CE"
352580,"JULIO MESQUITA, SP"
270390,"JUNDIA, AL"
352610,"JUQUIA, SP"
250800,"JURU, PB"
510520,"JUSCIMEIRA, MT"
220557,"LAGOA DE SAO FRANCISCO, PI"
260850,"LAGOA DE ITAENGA, PE"
313750,"LAGOA FORMOSA, MG"
240650,"LAGOA NOVA, RN"
431125,"LAGOAO, RS"
500525,"LAGUNA CARAPA, MS"
210598,"LAJEADO NOVO, MA"
313450,"ITUTINGA, MG"
411155,"IVATE, PR"
420860,"JABORA, SC"
240500,"JACANA, RN"
150375,"JACAREACANGA, PA"
420870,"JACINTO MACHADO, SC"
150380,"JACUNDA, PA"
431100,"JAGUARAO, RS"
431110,"JAGUARI, RS"
420880,"JAGUARUNA, SC"
411210,"JANDAIA DO SUL, PR"
500290,"CASSILANDIA, MS"
351120,"CATIGUA, SP"
250435,"CATURITE, PB"
510260,"CAMPINAPOLIS, MT"
420350,"CAMPO ERE, SC"
430410,"CAMPOS BORGES, RS"
420360,"CAMPOS NOVOS, SC"
520430,"CACU, GO"
220455,"GUARIBAS, PI"
220480,"IPIRANGA DO PIAUI, PI"
220559,"LAGOA DO SITIO, PI"
220640,"MONSENHOR GIL, PI"
220675,"NOSSA SENHORA DE NAZARE, PI"
220730,"PAES LANDIM, PI"
220810,"PIMENTEIRAS, PI"
220855,"PORTO ALEGRE DO PIAUI, PI"
220865,"QUEIMADA NOVA, PI"
220945,"SANTO ANTONIO DOS MILAGRES, PI"
221065,"SIGEFREDO PACHECO, PI"
221120,"URUCUI, PI"
230410,"CRATEUS, CE"
230445,"FORTIM, CE"
231030,"PARAMBU, CE"
231070,"PENTECOSTE, CE"
231085,"PINDORETAMA, CE"
231310,"TABULEIRO DO NORTE, CE"
231325,"TARRAFAS, CE"
231340,"TIANGUA, CE"
240160,"BENTO FERNANDES, RN"
420765,"IPORA DO OESTE, SC"
420770,"IPUMIRIM, SC"
431050,"IRAI, RS"
352160,"IRAPURU, SP"
230610,"IRAUCUBA, CE"
420800,"ITA, SC"
320240,"GUARAPARI, ES"
351840,"GUARATINGUETA, SP"
312870,"GUAXUPE, MG"
312900,"GUIRICEMA, MG"
170950,"GURUPI, TO"
430957,"HERVEIRAS, RS"
130170,"HUMAITA, AM"
351925,"IARAS, SP"
430975,"IBARAMA, RS"
270300,"IBATEGUARA, AL"
410975,"IBEMA, PR"
291210,"IBICARAI, BA"
291250,"IBIPITANGA, BA"
260670,"IBIRAJUBA, PE"
351950,"IBIRAREMA, SP"
291310,"IBITITA, BA"
420700,"ICARA, SC"
351980,"ICEM, SP"
352000,"IGARACU DO TIETE, SP"
210520,"IGARAPE GRANDE, MA"
320220,"FUNDAO, ES"
351650,"GABRIEL MONTEIRO, SP"
312730,"GALILEIA, MG"
420560,"GALVAO, SC"
354900,"SAO FRANCISCO, SP"
315930,"SANTA RITA DE JACUTINGA, MG"
354765,"SANTA SALETE, SP"
160060,"SANTANA, AP"
412400,"SANTANA DO ITARARE, PR"
251385,"SANTO ANDRE, PB"
171884,"SANDOLANDIA, TO"
354600,"SANTA BRANCA, SP"
315760,"SANTA FE DE MINAS, MG"
251335,"SANTA INES, PB"
280630,"SANTA LUZIA DO ITANHY, SE"
354400,"RIO DAS PEDRAS, SP"
220900,"RIO GRANDE DO PIAUI, PI"
539916,"REGIAO ADMINISTRATIVA DO RIACHO FUNDO I, DF"
539917,"REGIAO ADMINISTRATIVA DO RIACHO FUNDO II, DF"
539918,"REGIAO ADMINISTRATIVA DE SAMAMBAIA, DF"
539919,"REGIAO ADMINISTRATIVA DE SANTA MARIA, DF"
539920,"REGIAO ADMINISTRATIVA DE SAO SEBASTIAO, DF"
539921,"REGIAO ADMINISTRATIVA DE SOBRADINHO, DF"
539922,"REGIAO ADMINISTRATIVA DE SOBRADINHO II, DF"
539923,"SUDOESTE, DF"
539924,"REGIAO ADMINISTRATIVA DE TAGUATINGA, DF"
539925,"REGIAO ADMINISTRATIVA DO VARJAO, DF"
420840,"ITAPIRANGA, SC"
430190,"BARRA DO RIBEIRO, RS"
430265,"BROCHIER, RS"
430430,"CANDIDO GODOI, RS"
430511,"CENTENARIO, RS"
430610,"CRUZ ALTA, RS"
430640,"DOIS IRMAOS, RS"
430740,"ESMERALDA, RS"
430840,"FORMIGUEIRO, RS"
521110,"ITAPORA DE GOIAS (TRANSF. P/TO), GO"
521240,"LIZARDA (TRANSF. P/TO), GO"
521330,"MIRANORTE (TRANSF. P/TO), GO"
521420,"NATIVIDADE (TRANSF. P/TO), GO"
521510,"NOVO ACORDO (TRANSF. P/TO), GO"
521620,"PARANA (TRANSF. P/TO), GO"
521650,"PEDRO AFONSO (TRANSF. P/TO), GO"
521700,"PINDORAMA DE GOIAS (TRANSF. P/TO), GO"
521750,"PIUM (TRANSF. P/TO), GO"
521780,"PONTE ALTA DO BOM JESUS (TRANSF. P/TO), GO"
521820,"PORTO NACIONAL (TRANSF. P/TO), GO"
522030,"SAO SEBASTIAO DO TOCANTINS (TRANSF. P/TO), GO"
522090,"TAGUATINGA (TRANSF. P/TO), GO"
522110,"TOCANTINIA (TRANSF. P/TO), GO"
522210,"XAMBIOA (TRANSF. P/TO), GO"
520755,"FATIMA (TRANSF. P/TO), GO"
520765,"FIGUEIROPOLIS (TRANSF. P/TO), GO"
521575,"PALMEIROPOLIS (TRANSF. P/TO), GO"
522065,"SILVANOPOLIS (TRANSF. P/TO), GO"
522208,"WANDERLANDIA (TRANSF. P/TO), GO"
293360,"XIQUE-XIQUE, BA"
211400,"ZE DOCA, MA"
317050,"URUCANIA, MG"
317052,"URUCUIA, MG"
522180,"URUTAI, GO"
110180,"VALE DO PARAISO, RO"
421915,"VARGEM, SC"
317057,"VARGEM ALEGRE, MG"
355645,"VARGEM GRANDE PAULISTA, SP"
430900,"GIRUA, RS"
510395,"GLORIA D'OESTE, MT"
312737,"GOIABEIRA, MG"
520860,"GOIANESIA, GO"
320515,"VILA PAVAO, ES"
320517,"VILA VALERIO, ES"
317180,"VIRGINOPOLIS, MG"
432350,"VISTA ALEGRE, RS"
412780,"TOMAZINA, PR"
510820,"TORIXOREU, MT"
150803,"TRACUATEUA, PA"
432162,"TRAVESSEIRO, RS"
412785,"TRES BARRAS DO PARANA, PR"
432183,"TRES FORQUILHAS, RS"
316935,"TRES MARIAS, MG"
432190,"TRES PASSOS, RS"
421840,"TREZE DE MAIO, SC"
316970,"TURMALINA, MG"
211250,"TUTOIA, MA"
293210,"UBAIRA, BA"
355540,"UBATUBA, SP"
355550,"UBIRAJARA, SP"
432234,"UBIRETAMA, RS"
231370,"UMARI, CE"
412820,"UNIAO DA VITORIA, PR"
412830,"UNIFLOR, PR"
355580,"URANIA, SP"
293090,"TABOCAS DO BREJO VELHO, BA"
150795,"TAILANDIA, PA"
412667,"TAMARANA, PR"
320200,"DORES DO RIO PRETO, ES"
312350,"DOURADOQUARA, MG"
430675,"DOUTOR RICARDO, RS"
412600,"SAO SEBASTIAO DA AMOREIRA, PR"
316447,"SAO SEBASTIAO DO ANTA, MG"
316460,"SAO SEBASTIAO DO OESTE, MG"
251520,"SAO SEBASTIAO DO UMBUZEIRO, PB"
316520,"SAO THOME DAS LETRAS, MG"
241300,"SAO VICENTE, RN"
261380,"SAO VICENTE FERRER, PE"
330540,"SAPUCAIA, RJ"
432000,"SAPUCAIA DO SUL, RS"
241310,"SENADOR ELOI DE SOUZA, RN"
211176,"SENADOR LA ROCQUE, MA"
421670,"SAO JOSE DO CEDRO, SC"
221005,"SAO JOSE DO DIVINO, PI"
316340,"SAO JOSE DO GOIABAL, MG"
431849,"SAO JOSE DO INHACORA, RS"
431860,"SAO JOSE DO OURO, RS"
354970,"SAO JOSE DO RIO PARDO, SP"
330515,"SAO JOSE DO VALE DO RIO PRETO, RJ"
251480,"SAO JOSE DOS CORDEIROS, PB"
221030,"SAO JULIAO, PI"
261370,"SAO LOURENCO DA MATA, PE"
421700,"SAO LUDGERO, SC"
355000,"SAO LUIS DO PARAITINGA, SP"
431900,"SAO MARCOS, RS"
320490,"SAO MATEUS, ES"
355020,"SAO MIGUEL ARCANJO, SP"
220280,"CONCEICAO DO CANINDE, PI"
290840,"CONCEICAO DO COITE, BA"
220995,"SAO JOAO DA VARJOTA, PI"
421545,"SANGAO, SC"
421420,"QUILOMBO, SC"
251220,"PRATA, PB"
120038,"PLACIDO DE CASTRO, AC"
231080,"PEREIRO, CE"
270642,"PARICONHA, AL"
353480,"OURO VERDE, SP"
171510,"NOVO ACORDO, TO"
411573,"MATO RICO, PR"
313160,"IRAI DE MINAS, MG"
520980,"HIDROLINA, GO"
312670,"FRANCISCO SA, MG"
110094,"CUJUBIM, RO"
320180,"DIVINO DE SAO LOURENCO, ES"
290960,"CRISOPOLIS, BA"
500280,"CARACOL, MS"
350950,"CAMPINAS, SP"
330070,"CABO FRIO, RJ"
311100,"CAMPESTRE, MG"
290475,"BURITIRAMA, BA"
130030,"AUTAZES, AM"
290030,"ACAJUTIBA, BA"
350100,"ALTINOPOLIS, SP"
520145,"APARECIDA DO RIO DOCE, GO"
432345,"VILA NOVA DO SUL, RS"
293000,"SEBASTIAO LARANJEIRAS, BA"
150630,"SALVATERRA, PA"
412040,"PRESIDENTE CASTELO BRANCO, PR"
291600,"ITANHEM, BA"
313320,"ITANHOMI, MG"
521090,"ITAPACI, GO"
230630,"ITAPAGE, CE"
291610,"ITAPARICA, BA"
291630,"ITAPEBI, BA"
313350,"ITAPECERICA, MG"
210540,"ITAPECURU MIRIM, MA"
355250,"SUZANO, SP"
355280,"TABOAO DA SERRA, SP"
316410,"SAO PEDRO DO SUACUI, MG"
211163,"SAO RAIMUNDO DO DOCA BEZERRA, MA"
316420,"SAO ROMAO, MG"
355070,"SAO SEBASTIAO, SP"
150770,"SAO SEBASTIAO DA BOA VISTA, PA"
316443,"SAO SEBASTIAO DA VARGEM ALEGRE, MG"
316450,"SAO SEBASTIAO DO MARANHAO, MG"
316490,"SAO SEBASTIAO DO RIO VERDE, MG"
355090,"SAO SIMAO, SP"
241290,"SAO TOME, RN"
431973,"SAO VALERIO DO SUL, RS"
316530,"SAO VICENTE DE MINAS, MG"
316540,"SAPUCAI-MIRIM, MG"
150775,"SAPUCAIA, PA"
432010,"SARANDI, RS"
412625,"SARANDI, PR"
355110,"SARAPUI, SP"
355120,"SARUTAIA, SP"
316553,"SARZEDO, MG"
150530,"ORIXIMINA, PA"
260970,"OROBO, PE"
432195,"TRINDADE DO SUL, RS"
241445,"TRIUNFO POTIGUAR, RN"
421870,"TUBARAO, SC"
432210,"TUCUNDUVA, RS"
412788,"TUNAS DO PARANA, PR"
316960,"TUPACIGUARA, MG"
432230,"TUPARENDI, RS"
172125,"TUPIRAMA, TO"
355530,"TURMALINA, SP"
231355,"TURURU, CE"
412796,"TURVO, PR"
130426,"UARINI, AM"
317000,"UBAI, MG"
293240,"UIBAI, BA"
355570,"UNIAO PAULISTA, SP"
412840,"URAI, PR"
522160,"URUACU, GO"
150815,"URUARA, PA"
241380,"TABOLEIRO GRANDE, RN"
355290,"TACIBA, SP"
172090,"TAGUATINGA, TO"
421780,"TAIO, SC"
241390,"TAIPU, RN"
261485,"TAMANDARE, PE"
231320,"TAMBORIL, CE"
432090,"TAPEJARA, RS"
251650,"TAPEROA, PB"
412690,"TAPIRA, PR"
421010,"MAFRA, SC"
352830,"MAGDA, SP"
352840,"MAIRINQUE, SP"
210550,"JOAO LISBOA, MA"
313630,"JOAO PINHEIRO, MG"
260820,"JOAQUIM NABUCO, PE"
420910,"JOINVILLE, SC"
260825,"JUCATI, PE"
510515,"JUINA, MT"
352585,"JUMIRIM, SP"
270400,"JUNQUEIRO, AL"
420917,"JUPIA, SC"
411295,"JURANDA, PR"
270620,"PALESTINA, AL"
411640,"NOSSA SENHORA DAS GRACAS, PR"
411680,"NOVA CANTU, PR"
314470,"NOVA ERA, MG"
521487,"NOVA IGUACU DE GOIAS, GO"
171488,"NOVA OLINDA, TO"
411725,"NOVA PRATA DO IGUACU, PR"
171500,"NOVA ROSALANDIA, TO"
421150,"NOVA TRENTO, SC"
510625,"NOVA XAVANTINA, MT"
431238,"MONTE BELO DO SUL, RS"
292150,"MONTE SANTO, BA"
292160,"MORPARA, BA"
431247,"MORRO REUTER, RS"
521405,"MUNDO NOVO, GO"
171420,"NATIVIDADE, TO"
410337,"BRASILANDIA DO SUL, PR"
510190,"BRASNORTE, MT"
170370,"BREJINHO DE NAZARE, TO"
290430,"BREJOES, BA"
290460,"BRUMADO, BA"
420290,"BRUSQUE, SC"
310925,"BUGRE, MG"
350810,"BURITAMA, SP"
170380,"BURITI DO TOCANTINS, TO"
520350,"BOM JESUS DE GOIAS, GO"
500200,"BATAYPORA, MS"
230220,"BEBERIBE, CE"
410275,"BELA VISTA DA CAROBA, PR"
210173,"BELAGUA, MA"
260160,"BELEM DE SAO FRANCISCO, PE"
310620,"BELO HORIZONTE, MG"
310630,"BELO ORIENTE, MG"
220160,"BENEDITINOS, PI"
350630,"BERNARDINO DE CAMPOS, SP"
350635,"BERTIOGA, SP"
220180,"BOCAINA, PI"
420243,"BOCAINA DO SUL, SC"
240165,"BODO, RN"
260210,"BOM CONSELHO, PE"
220190,"BOM JESUS, PI"
310760,"BOM JESUS DA PENHA, MG"
170255,"AUGUSTINOPOLIS, TO"
430155,"AUREA, RS"
170270,"AURORA DO TOCANTINS, TO"
317047,"URUANA DE MINAS, MG"
355300,"TAGUAI, SP"
355320,"TAIUVA, SP"
412670,"TAMBOARA, PR"
241400,"TANGARA, RN"
330575,"TANGUA, RJ"
221097,"TANQUE DO PIAUI, PI"
293110,"TANQUINHO, BA"
293120,"TAPEROA, BA"
510800,"TAPURAH, MT"
355380,"TAQUARITUBA, SP"
500797,"TAQUARUSSU, MS"
211200,"TASSO FRAGOSO, MA"
251660,"TAVARES, PB"
270430,"MACEIO, AL"
291890,"LAJEDAO, BA"
291995,"MAETINGA, BA"
292010,"MAIRI, BA"
313620,"JOAO MONLEVADE, MG"
270380,"JOAQUIM GOMES, AL"
220545,"JOCA MARQUES, PI"
313652,"JOSE GONCALVES DE MINAS, MG"
210560,"JOSELANDIA, MA"
510510,"JUARA, MT"
171180,"JUARINA, TO"
220551,"JUAZEIRO DO PIAUI, PI"
220552,"JULIO BORGES, PI"
260830,"JUPI, PE"
313680,"JURAMENTO, MG"
510517,"JURUENA, MT"
431940,"SAO PEDRO DO SUL, RS"
330530,"SAO SEBASTIAO DO ALTO, RJ"
316470,"SAO SEBASTIAO DO PARAISO, MG"
316510,"SAO TOMAS DE AQUINO, MG"
431971,"SAO VALENTIM DO SUL, RS"
355100,"SAO VICENTE, SP"
431990,"SAPIRANGA, RS"
292970,"SATIRO DIAS, BA"
412627,"SAUDADE DO IGUACU, PR"
421740,"SCHROEDER, SC"
510263,"CAMPO NOVO DO PARECIS, MT"
520490,"CAMPOS BELOS, GO"
150215,"CANAA DOS CARAJAS, PA"
290610,"CANAPOLIS, BA"
220225,"CANAVIEIRA, PI"
311200,"CANDEIAS, MG"
351010,"CANDIDO RODRIGUES, SP"
420370,"CANELINHA, SC"
260370,"CANHOTINHO, PE"
351015,"CANITAR, SP"
290680,"CANSANCAO, BA"
410445,"CANTAGALO, PR"
130090,"CANUTAMA, AM"
420325,"CAPAO ALTO, SC"
311210,"CAPARAO, MG"
420390,"CAPINZAL, SC"
220245,"CAPITAO GERVASIO OLIVEIRA, PI"
130083,"CAAPIRANGA, AM"
290485,"CABACEIRAS DO PARAGUACU, BA"
290440,"BREJOLANDIA, BA"
520380,"BRITANIA, GO"
350800,"BURI, SP"
210232,"BURITICUPU, MA"
350820,"BURITIZAL, SP"
500190,"BATAGUASSU, MS"
220150,"BATALHA, PI"
350600,"BAURU, SP"
230230,"BELA CRUZ, CE"
330430,"RIO BONITO, RJ"
120040,"RIO BRANCO, AC"
500720,"RIO BRILHANTE, MS"
150580,"PORTEL, PA"
280560,"PORTO DA FOLHA, SE"
510682,"PORTO ESPERIDIAO, MT"
160053,"PORTO GRANDE, AP"
171820,"PORTO NACIONAL, TO"
421360,"PORTO UNIAO, SC"
120039,"PORTO WALTER, AC"
315260,"POUSO ALTO, MG"
510700,"POXOREO, MT"
160055,"PRACUUBA, AP"
315270,"PRADOS, MG"
315280,"PRATA, MG"
315300,"PRATINHA, MG"
130353,"PRESIDENTE FIGUEIREDO, AM"
292570,"PRESIDENTE JANIO QUADROS, BA"
210920,"PRESIDENTE JUSCELINO, MA"
315330,"PRESIDENTE KUBITSCHEK, MG"
270810,"SANTANA DO MUNDAU, AL"
251360,"SANTANA DOS GARROTES, PB"
150680,"SANTAREM, PA"
421570,"SANTO AMARO DA IMPERATRIZ, SC"
354790,"SANTO ANTONIO DA ALEGRIA, SP"
412410,"SANTO ANTONIO DA PLATINA, PR"
315990,"SANTO ANTONIO DO AMPARO, MG"
431647,"SALVADOR DAS MISSOES, RS"
210970,"SAMBAIBA, MA"
431660,"SANANDUVA, RS"
354550,"SANDOVALINA, SP"
412310,"SANTA AMELIA, PR"
315725,"SANTA BARBARA DO LESTE, MG"
430673,"DOUTOR MAURICIO CARDOSO, RS"
170730,"DUERE, TO"
520735,"EDEALINA, GO"
351480,"ELDORADO, SP"
291030,"ELISIO MEDRADO, BA"
351512,"EMILIANOPOLIS, SP"
430690,"ENCRUZILHADA DO SUL, RS"
410750,"ENGENHEIRO BELTRAO, PR"
351515,"ENGENHEIRO COELHO, SP"
312385,"ENTRE FOLHAS, MG"
291050,"ENTRE RIOS, BA"
312390,"ENTRE RIOS DE MINAS, MG"
430695,"ENTRE RIOS DO SUL, RS"
120025,"EPITACIOLANDIA, AC"
230427,"ERERE, CE"
313070,"INDIANOPOLIS, MG"
313080,"INGAI, MG"
313110,"INIMUTABA, MG"
521010,"IPAMERI, GO"
291380,"IPECAETA, BA"
420760,"IPIRA, SC"
260720,"IPOJUCA, PE"
411060,"IPORA, PR"
260730,"IPUBI, PE"
352140,"IRACEMAPOLIS, SP"
291420,"IRAJUBA, BA"
291450,"IRARA, BA"
220490,"ISAIAS COELHO, PI"
280290,"ITABAIANA, SE"
150320,"IGARAPE-ACU, PA"
280310,"ITABI, SE"
313180,"ITABIRINHA, MG"
291480,"ITABUNA, BA"
312820,"GUARACIABA, MG"
230500,"GUARACIABA DO NORTE, CE"
170930,"GUARAI, TO"
420650,"GUARAMIRIM, SC"
312840,"GUARANI, MG"
351800,"GUARANI D'OESTE, SP"
432060,"SEVERIANO DE ALMEIDA, RS"
355190,"SEVERINIA, SP"
172065,"SILVANOPOLIS, TO"
130400,"SILVES, AM"
316750,"SIMAO PEREIRA, MG"
351640,"FRANCO DA ROCHA, SP"
420555,"FREI ROGERIO, SC"
312300,"DORES DE CAMPOS, MG"
240860,"PARANA, RN"
500630,"PARANAIBA, MS"
411830,"PARANAPOEMA, PR"
353600,"PARAPUA, SP"
110145,"PARECIS, RO"
353625,"PARISI, SP"
240325,"PARNAMIRIM, RN"
240910,"PASSA E FICA, RN"
314780,"PASSA-VINTE, MG"
270650,"PASSO DE CAMARAGIBE, AL"
314810,"PATROCINIO, MG"
330385,"PATY DO ALFERES, RJ"
240940,"PAU DOS FERROS, RN"
314530,"NOVO CRUZEIRO, MG"
500625,"NOVO HORIZONTE DO SUL, MS"
510626,"NOVO MUNDO, MT"
150506,"NOVO REPARTIMENTO, PA"
292305,"NOVO TRIUNFO, BA"
314585,"ORATORIOS, MG"
314587,"ORIZANIA, MG"
421170,"ORLEANS, SC"
230950,"OROS, CE"
431350,"OSORIO, RS"
260990,"OURICURI, PE"
411740,"OURIZONA, PR"
240850,"OURO BRANCO, RN"
412120,"QUITANDINHA, PR"
231140,"QUIXERAMOBIM, CE"
292595,"RAFAEL JAMBEIRO, BA"
421430,"RANCHO QUEIMADO, SC"
412140,"REALEZA, PR"
315410,"RECREIO, MG"
231160,"REDENCAO, CE"
150613,"REDENCAO, PA"
220870,"REDENCAO DO GURGUEIA, PI"
315415,"REDUTO, MG"
354240,"REGENTE FEIJO, SP"
354260,"REGISTRO, SP"
