CNES,NOMEFANT
2084198,CEDEME CENTRO DESENVOLV PORTADOR DEFICIENCIA MENTAL ITU
2084228,SANTA CASA DE MISERICORDIA DONA CAROLINA MALHEIROS SJBV
2084236,CENTRO ESP EM REABILITACAO DR ARNALDO PEZZUTI CAVALCANTI MOG
2084244,IRPSI
2084252,SOBRAPAR CAMPINAS
2084279,CLINICA CRISTALIA ITAPIRA
2084287,SANTA CASA DE MISERICORDIA DE ITAPIRA
2084309,CASA DE SAUDE E MATER N S APARECIDA VOTUPORANGA
2084317,CLINICA FAZENDA PALMEIRAS
2084384,INSTITUTO BEZERRA DE MENEZES ESPIRITO SANTO DO PINHAL
2084414,SANTA CASA DE RIBEIRAO PRETO
2084422,SANTA CASA DE SAO PEDRO
2084430,HOSPITAL E MATERNIDADE MADRE VANNINI
2084465,HOSPITAL JARDIM DAS ACACIAS SOROCABA
2084473,HOSP MUN DR IGNACIO PROENCA DE GOUVEA
2085143,INSTITUTO AMERICO BAIRRAL DE PSIQUIATRIA
2085194,HOSPITAL SAO FRANCISCO DE ASSIS
2085569,CVV FRANCISCA JULIA
2085577,HOSPITAL ARGIA PROVISAO
2085976,UNIDADE MISTA DE SAUDE ROSA SANTA PASIN AGUIAR
2086050,MATERNIDADE GOTA DE LEITE
2086263,ANEXO PSIQUIATRICO IRMA VALENTINA
2086271,MATERNIDADE MUNICIPAL ZORAIDE EVA DAS DORES
2086336,HOSPITAL E MATERNIDADE MAIRIPORA
2086719,SANTA CASA DE MISERICORDIA DE JOANOPOLIS
2087057,HOSPITAL DOS FORNECEDORES DE CANA DE PIRACICABA
2087103,SOCIEDADE OPERARIA HUMANITARIA LIMEIRA
2087111,IRMANDADE DA SANTA CASA DE MISERICORDIA LORENA
2087219,HOSPITAL DE CLINICAS CAMPO LIMPO PAULISTA
2087324,UNIDADE HOSPITALAR DE PERUIBE
2087618,HOSPITAL MUNICIPAL DE VOTORANTIM
2087642,UNIDADE MISTA DE SAUDE MONS CID FRANCA SANTOS
2087715,HOSPITAL E MATERNIDADE MUNICIPAL GOVERNADOR MARIO COVAS
2087804,HOSPITAL REGIONAL JORGE ROSSMANN DE ITANHAEM
2088193,IRMANDADE DA STA CASA DE MISERICORD DE MOGI MIRIM MOGI MIRIM
2088487,SANTA CASA DE NOVO HORIZONTE
2088495,INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO
2088517,HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO
2088525,SANTA CASA DE MIGUELOPOLIS
2088576,HOSPITAL DE TRANSP DO EST DE SP EURYCLIDES DE JESUS ZERBINI
2089203,CASA DE SAUDE DE SAO JOAO DE DEUS
2089327,HOSPITAL PADRE ALBINO CATANDUVA
2089335,HOSP ESCOLA EMILIO CARLOS CATANDUVA
2089432,HOSPITAL SANTA MONICA ITAPECERICA DA SERRA
2089548,SANTA CASA DE PITANGUEIRAS
2089572,ASSOC CRUZ VERDE
2089602,HOSPITAL SEPACO
2089637,CASA DE SAUDE NSRA DO CAMINHO
2089696,HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP
2089777,HOSP NIPO BRASILEIRO
2089785,HOSPITAL DO RIM E HIPERTENSAO
2090171,UNIDADE HOSPITALAR DR JOSE NIGRO NETO AMERICO BRASILIENSE
2090236,FUNDACAO PIO XII BARRETOS
2090309,CENTRO DE ATENCAO INTEGRAL A SAUDE CANTIDIO DE MOURA CAMPOS
2090333,SANTA CASA DE CERQUEIRA CESAR
2090376,HOSPITAL MUNICIPAL JULIO RODRIGUES DE PAULA COLOMBIA
2090619,UNIDADE MISTA DE SAUDE ANTONIA RAMOS PRIANTI
2090724,SANTA CASA ITABERA
2090961,HOSPITAL CARLOS FERNANDO MALZONI MATAO
2091097,HOSPITAL SAO JOSE PARANAPANEMA
2091267,SANTA CASA SANTA RITA DO PASSA QUATRO
2091275,CAIS CENTRO ATENCAO INTEGRAL SAUDE SANTA RITA PASSA QUATRO
2091305,H O REDENTORA HOSPITAL DE OLHOS
2091313,HOSPITAL REGIONAL SUL SAO PAULO
2091356,HOSPITAL VITAL BRAZIL SAO PAULO
2091399,ASSOCIACAO NOSSA SENHORA DO PARI
2091542,AME AMBULATORIO MEDICO DE ESPECIALIDADES MARIA ZELIA
2091550,INST CEMA DE OFTALMOLOGIA E OTORRINOLARINGOLOGIA
2091577,CENTRO DE OFTALMOLOGIA TADEU CVINTAL
2091585,HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO
2091623,CLINICA CHARCOT
2091658,HOSPITAL DIA M BOI MIRIM I JARDIM IBIRAPUERA
2091666,COMPLEXO DE SAUDE DR WLADIMIR ARRUDA
2091755,HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO
2091763,HOSP VERA CRUZ
2091801,HOSP PS COMUNITARIO V IOLANDA
2092093,HOSPITAL E MATERNIDADE SAO VICENTE DE PAULO VIRADOURO SP
2092107,HOSPITAL DE CLINICAS DE FRANCO DA ROCHA FRANCO DA ROCHA
2092298,SANTA CASA DE ITU
2092395,HOSPITAL MUNICIPAL IBATE
2092611,SANTA CASA DE BARRETOS
2092638,SANTA CASA DE FARTURA
2092980,HOSPITAL DE BASTOS
2093022,PRONTO DE ATENDIMENTO ELDORADO S P
2093030,HOSPITAL SANTO ANTONIO DE JUQUIA JUQUIA
2093197,HOSPITAL MUNICIPAL DE JANDIRA
2093227,IRMANDADE DA SANTA CASA DE MISERICORDIA DE ITAI
2093324,SANTA CASA DE FERNANDOPOLIS
2093332,SANTA CASA DE SANTA FE DO SUL
2093405,INAMEX NHANDEARA
2093502,HOSPITAL SAO DOMINGOS NA PROV DE DEUS NHANDEARA
2095912,HOSPITAL JOSE VENANCIO
2096196,HOSPITAL ENF ANTONIO POLICARPO DE OLIVEIRA
2096412,SANTA CASA DE MISERICORDIA DE JACAREI
2096463,SANTA CASA DE MOGI GUACU
2096498,HOSPITAL MUNICIPAL DR TABAJARA RAMOS
2096617,HOSPITAL ASSISTENCIAL MARIA CAVALOTTI NEVES POTIRENDABA
2096625,HOSPITAL SAO JOAO PRESIDENTE PRUDENTE
2097605,HOSPITAL IELAR
2097613,HOSPITAL INFANTE D HENRIQUE
2097648,HOSPITAL BEZERRA DE MENEZES
2097656,HORP HOSPITAL DO OLHO RIO PRETO
2097877,IRMANDADE DA SANTA CASA DE MISERICORDIA DE VALINHOS
2098156,SANTA CASA DE CAMPOS ALTOS
2098326,HOSPITAL E MATERNIDADE SAO JOSE
2098369,HOSPITAL SANTO ANTONIO
2098407,HOSPITAL MUNICIPAL SANTANA DE CARANDAI
2098466,CLINICA MANTIQUEIRA LTDA
2098474,HOSPITAL POLICLINICA E MATERNIDADE DE BARBACENA
2098539,HOSPITAL MUNICIPAL FREI GABRIEL
2098741,CLINICA SAO FRANCISCO
2098911,IRMANDADE DA SANTA CASA DE MISERICORDIA DE CATAGUASES
2098938,HOSPITAL IBIAPABA CEBAMS
2098946,CENTRO HOSPITALAR PSIQUIATRICO DE BARBACENA
2099195,HOSPITAL MUNICIPAL DIVINO ESPIRITO SANTO
2099209,HOSPITAL SAO VICENTE DE PAULO MANTENA
2099217,HOSPITAL EVANGELICO DE MANTENA
2099233,IRMANDADE DA SANTA CASA DE MUZAMBINHO
2099438,HOSPITAL SAO JOAO BATISTA
2099454,HOSPITAL SAO SEBASTIAO
2100339,HOSPITAL SANTANA DE JEQUERI
2100363,HOSPITAL NOSSA SENHORA DA CONCEICAO RIO CASCA
2100371,HOSPITAL NOSSA SENHORA DE LOURDES DE ALVINOPOLIS
2100398,HOSPITAL NOSSA SENHORA DA SAUDE DE DOM SILVERIO
2100681,HOSPITAL MUNICIPAL DE SAO GOTARDO
2100754,HOSPITAL MUNICIPAL DE PARACATU
2101025,UNIDADE MISTA DE SAUDE NIVEA ANGELA RODRIGUES
2101335,HOSPITAL SANTA CRUZ
2101432,HOSPITAL MUNICIPAL DARCI JOSE FERNANDES
2101777,HOSPITAL MUNICIPAL ANTONIO CARNEIRO VALADARES
2101874,HOSPITAL MUNICIPAL DR BININHO
2102021,HOSPITAL MUN CONCEICAO PALHARES
2102404,HOSPITAL SANTANA DE AGUA BOA
2102579,HOSPITAL SAO LUCAS DE ITABIRINHA
2102587,HOSPITAL SAO JOSE SAO CAMILO
2102595,HOSPITAL SAO SEBASTIAO DE TARUMIRIM
2102714,HOSPITAL IMACULADA CONCEICAOGALILEIA
2102765,HOSPITAL SAO JOAO EVANGELISTA
2102773,HOSPITAL SAO VICENTE DE PAULO DE ITANHOMI
2102854,HOSPITAL JESUS MENINO
2103222,HOSPITAL MUNICIPAL DIVINO ESPIRITO SANTO
2103230,FUNDACAO HOSPITALAR MENDES PIMENTEL
2103257,HOSPITAL SANTO ANTONIO DE PECANHA
2103532,HOSPITAL SAO SEBASTIAO DE INHAPIM
2103990,HOSPITAL SANTA MARIA ETERNA
2104741,HOSPITAL NOSSA SENHORA APARECIDA
2105365,FUNDACAO HOSPITALAR DO MUNICIPIO DE ESPINOSA
2105780,HOSPITAL MANOEL GONCALVES
2105799,CASA DE SAUDE SAO FRANCISCO DE ASSIS DE BAMBUI
2108933,HOSPITAL MUNICIPAL DE ESTRELA DO INDAIA
2108992,HOSPITAL DERALDO GUIMARAES
2109034,SANTA CASA DE MISERECORDIA DE SACRAMENTO
2109700,HOSPITAL SAO VICENTE DE PAULO
2109727,CASA DE SAUDE E MATERNIDADE SAO SEBASTIAO
2109735,HOSPITAL DOM SILVERIO DE PORTO FIRME
2109867,HOSPITAL MUNICIPAL MONSENHOR FLAVIO DAMATO
2111624,HOSPITAL REGIONAL JOAO PENIDO
2111640,HOSPITAL NOSSA SENHORA DAS DORES
2111659,SANTA CASA DE MISERICORDIA DE LAVRAS
2111861,CASA DE SAUDE PAULO MENICUCCI
2112175,HOSPITAL VAZ MONTEIRO
2112531,HOSPITAL MUNICIPAL MATERNIDADE SAO FRANCISCO
2112647,PEQUENO HOSPITAL NOSSA SENHORA DA PIEDADE
2113791,SANATORIO ESPIRITA JOSE DIAS MACHADO
2114143,HOSPITAL MUNICIPAL JATYR GUIMARAES DE PAULA
2114267,HOSPITAL EVANGELICO DE CARANGOLA
2114763,HOSPITAL PADRE JULIO MARIA
2115077,FUNDACAO DE SAUDE CRISTO REI
2115654,CASA DE SAUDE SANTA IZABEL CSSI
2115662,SABARA HOSPITAL CRISTIANO MACHADO
2115786,UNIDADE MUNICIPAL DE PRONTO ATENDIMENTO DE IBIRITE
2117037,NOVA LIMA HOSPITAL NOSSA SENHORA DE LOURDES
2117096,MATEUS LEME HOSPITAL SANTA TEREZINHA
2117282,SANTA CASA DE SABARA
2117290,VESPASIANO HOSPITAL E MATERNIDADE VESPASIANO LTDA
2117312,CAETE SANTA CASA DE CAETE
2117398,JABOTICATUBAS FUNDACAO HOSPITALAR SANTO ANTONIO
2117479,HOSPITAL MUNICIPAL DE JAIBA
2117568,HOSPITAL CASSIANO CAMPOLINA
2118041,UNIDADE MISTA DE SAUDE DE LAGAMAR
2118076,HOSPITAL MUNICIPAL DONA ROSALINA FLAUSINA DE SOUZA
2118092,HOSPITAL MUNICIPAL NOSSA SENHORA DA LAPA
2118246,STA CASA MIS CARMO DO PARANAIBA DR ADILON CARDOSO TEIXEIRA
2118319,HOSPITAL NOSSA SENHORA APARECIDA
2118459,CASA DE SAUDE UNIAO
2118513,HOSPITAL NOSSA SENHORA AUXILIADORA
2118629,HOSPITAL SAO VICENTE DE PAULO
2118661,HOSPITAL BOM SAMARITANO
2118858,HOSPITAL SAO LUCAS
2118874,HOSPITAL NOSSA SENHORA DAS GRACAS
2119404,HOSPITAL E MATERNIDADE NOSSA SENHORA DAS GRACAS
2119412,HOSPITAL SAO VICENTE DE BRASILIA DE MINAS
2119420,HOSPITAL MUNICIPAL SENHORA SANTANA
2119439,HOSPITAL CRISTO REI
2119447,HOSPITAL SAO GERALDO
2119455,HOSPITAL MUNICIPAL GERSON DIAS
2119463,HOSPITAL TACITO DE FREITAS COSTA
2119471,HOSPITAL MUNICIPAL DE BOCAIUVA
2119501,HOSPITAL MUNICIPAL GRICIA LISBOA DE REZENDE
2119528,HOSPITAL DR MOISES MAGALHAES FREIRE
2120402,HOSPITAL BOM PASTOR
2120410,HOSPITAL SAO MIGUEL
2120453,HOSPITAL JOSE PERES
2120542,LAGOA SANTA HOSPITAL LINDOURO AVELAR
2121387,HOSPITAL NOSSA SENHORA DABADIA
2121409,HOSPITAL SAO VICENTE DE PAULO
2121514,HOSPITAL SEBASTIAO PAES DE ALMEIDA
2121697,HOSPITAL NOSSA SENHORA DAS VITORIAS
2121719,HOSPITAL MATER DEI
2121808,HOSPITAL GENESIO FRANCO DE MORAIS
2121921,HOSPITAL SERGIO PACHECO
2122057,HOSPITAL IRENE TAVARES ROCHA
2122103,HOSPITAL OLYNTO ALMADA
2122618,HOSPITAL SAO SEBASTIAO DE RECREIO
2122650,CASA DE CARIDADE LEOPOLDINENSE
2122677,HOSPITAL SAO SALVADOR
2122936,HOSPITAL E MATERNIDADE MARIA ELOY
2122987,HOSPITAL COMUNITARIO DE LARANJAL
2123061,INSTITUTO NOSSA SENHORA DO CARMO
2123231,HOSPITAL SAO VICENTE DE PAULO
2123436,SANTA CASA DE PRADOS
2123711,HOSPITAL SAO VICENTE DE PAULO
2124289,HOSPITAL MUNICIPAL VALDEMAR DE ASSIS BARCELOS
2126494,HOSPITAL PUBLICO REGIONAL PREFEITO OSVALDO REZENDE FRANCO
2126508,MATERNIDADE P MUNICIPAL HAYDE ESPEJO CONROY
2126559,HOSPITAL SANTA BARBARA
2126796,HOSPITAL SAO VICENTE DE PAULO DE ABAETE
2126990,HOSPITAL SAO VICENTE DE PAULO
2127091,HOSPITAL DR PACIFICO MASCARENHAS
2127687,SANTA CASA DE MISERICORDIA DE ITAJUBA
2127695,HOSPITAL FREI CAETANO E MATSANTA TEREZA PARAISOPOLIS
2127725,IRMANDADE DA SANTA CASA DE MISERICORDIA DE CAMANDUCAIA
2127733,SANTA CASA DE MISERICORDIA DE CALDAS
2127741,HOSPITAL E MATERN MARIA EULALIA SILVIANOPOLIS
2127768,HOSPITAL E MATERNIDADE DE CAREACU
2127881,HOSPITAL E MATERN SAO LUCAS DE EXTREMA
2127903,LAR IRMA M AUGUSTA BORDA DA MATA
2127911,CASA DE CARIDADE DE OURO FINO
2127938,SANTA CASA DE MISERICORDIA DE PEDRALVA
2127946,HOSPITAL SAO CAETANO BRASOPOLIS
2127989,HOSPITAL DAS CLIN SAMUEL LIBANIO POUSO ALEGRE
2127997,SANTA CASA E MAT N S DE FATIMA ESTIVA
2128004,SANTA CASA DE MISERICORDIA DE IPUIUNA
2128012,HOSPITAL ANA MOREIRA SALLES CAMBUI
2128020,HOSPITAL E MAT SENHOR BOM JESUS BUENO BRANDAO
2129469,SANTA CASA DE POCOS DE CALDAS
2129566,HOSPITAL SANTA LUCIA HOSPITAL DO CORACAO
2132877,HOSPITAL SAO CARLOS
2134071,HOSPITAL IMACULADA CONCEICAO
2134268,FUNDACAO MINAS NOVAS HOSPITAL DOUTOR BADARO JUNIOR
2134276,HOSPITAL SAO VICENTE DE PAULO ARACUAI
2134292,HOSPITAL MUNICIPAL NOSSA SENHORA DOS POBRES
2134306,HOSPITAL SAO DOMINGOS
2135108,HOSPITAL SAO VICENTE TURMALINA
2135116,HOSPITAL SAO VICENTE DE PAULO CARBONITA
2135124,FUNDACAO HOSPITALAR SAO VICENTE DE PAULO
2135132,SANTA CASA DE CARIDADE
2135140,HOSPITAL JOAO CESAR DE OLIVEIRA
2135884,HOSPITAL MUNICIPAL AGOSTINHA ALCANTARA AGUIAR COLUNA
2135914,HOSPITAL SAO SEBASTIAO DE SABINOPOLIS
2135930,HOSPITAL MUNICIPAL GERALDO FERREIRA GANDRA
2135949,HOSPITAL DE ITAMARANDIBA
2135965,UNIDADE MISTA DE SAUDE SAO VICENTE DE PAULO
2136104,HOSPITAL SAO CAETANO
2136139,HOSPITAL MONUMENTO AS MAES
2136937,HOSPITAL SAO VICENTE DE PAULO
2136945,HOSPITAL QUELUZ
2138875,SANTA CASA MISERICORDIA BARBACENA
2138964,CASA DE SAUDE SANTA IZABEL LTDA
2139022,HOSPITAL BEMVINDO SAUDE
2139030,HOSPITAL SANTA RITA
2139049,HEFA
2139057,HOSPITAL MUNICIPAL DE JOAIMA
2139065,HOSPITAL PAULO VI
2139073,HOSPITAL VALE DO JEQUITINHONHA
2139081,HOSPITAL CAP MARCELO VICENTE PEREIRA
2139103,HOSPITAL SANTA LUCIA
2139111,HOSPITAL SENHOR DO BONFIM
2139138,HOSPITAL SAO VICENTE DE PAULO
2139146,HOSPITAL DE FELISBURGO
2139200,SANTA CASA DE MISERICORDIA DO HOSP SAO FRANCISCO DE ASSIS
2139626,HOSPITAL NOSSA SENHORA DO ROSARIO
2139960,HOSPITAL MUNICIPAL DE RIBEIRAO VERMELHO
2140063,HOSPITAL MUNICIPAL SAO SEBASTIAO
2140071,HOSPITAL NOSSA SENHORA DE FATIMA
2140098,UNIDADE MISTA MUNICIPAL DR BRICIO DE CASTRO DOURADO
2140179,HOSPITAL ASSISTENCIAL MANOEL SIMOES CAXITO
2140217,HOSPITAL E MATERNIDADE DE TIMOTEO
2142295,HOSPITAL CARLOS CHAGAS
2142376,HOSPITAL SAO LUIZ DE FORMIGA
2142406,SANTA CASA DE MISERICORDIA DE PITANGUI
2142627,SANTA CASA DE ITAGUARA
2142937,HOSPITAL OLINTO FERREIRA DINIZ CARMO DA MATA
2143127,SANTA CASA MISERICORDIA NOSSA SENHORA CARMO DE C MINAS
2143674,HOSPITAL PROFESSOR BASILIO MOEMA
2143801,HOSPITAL SAO JOSE DE NOVA SERRANA
2143852,HOSPITAL NOSSA SENHORA DO BRASIL DE BAMBUI
2143895,SANTA CASA DE ITAPECERICA
2144018,HOSPITAL SANTO ANTONIO DE SANTO A DO MONTE
2144026,SANTA CASA DE MISERICORDIA DE SANTO ANTONIO DO MONTE
2144042,SANTA CASA DR ZACARIAS
2144166,HOSPITAL SENHORA APARECIDA DE LUZ
2144174,HOSPITAL SAO GABRIEL
2144182,HOSPITAL DR ODILON DE ANDRADE DE MARTINHO CAMPOS
2144204,SANTA CASA DE MISERICORDIA CLAUDIO
2144255,HOSPITAL MUNICIPAL SANTO ANTONIO DE CRISTAIS
2144298,HOSPITAL SAO JUDAS TADEU DE OLIVEIRA
2144514,HOSPITAL SAO SEBASTIAO DIONISIO
2144522,HOSPITAL SAO JUDAS TADEU
2144530,HOSPITAL REGIONAL IMACULADA CONCEICAO
2144549,HOSPITAL SAO JOSE
2144557,HOSPITAL SAO JOSE VIRGINOPOLIS
2144565,HOSPITAL PADRE ESTEVAN
2144573,HOSPITAL NOSSA SENHORA DAS DORES
2144581,HOSPITAL JOAQUIM BENTO DE AGUIAR
2144611,HOSPITAL JULIA KUBITSCHEK
2144638,SANTA CASA NOSSA SENHORA DAS MERCES
2144654,HOSPITAL NOSSA SENHORA DAS GRACAS DOM JOAQUIM
2145685,HOSPITAL E MATERNIDADE RENASCER
2145774,HOSPITAL SEBASTIAO PAES DE ALMEIDA
2145960,SANTA CASA DE MISERICORDIA DE ARAGUARI
2146088,HOSPITAL SANTO ANTONIO LTDA
2146355,HOSPITAL DE CLINICAS DE UBERLANDIA
2146398,SANTA CASA DE CARIDADE DE CAPITOLIO
2146401,HOSPITAL E NUCLEO DE SAUDE MENTAL GEDOR SILVEIRA
2146436,HOSPITAL E SANTA CASA DE JACUI
2146444,HOSPITAL SAO JOAO BATISTA DE ITAMOGI
2146460,HOSPITAL MUNICIPAL ELPIDIO RODRIGUES PINTO
2146479,SANTA CASA DE MISERICORDIA DE GUAPE
2146487,HOSPITAL MUNICIPAL DE IBIRACI
2146495,SANTA CASA DE MISERICORDIA DE MONTE SANTO
2146509,HOSPITAL SAO JOSE
2146517,HOSPITAL MUNICIPAL DONA CHIQUITA
2146525,SANTA CASA DE PARAISO
2147572,PEQUENO HOSPITAL SANTA MARIA DE ANTONIO CARLOS
2147823,HOSPITAL MUNICIPAL SANTA MARTA
2147947,HOSPITAL ADOLF ENSCH
2148293,HOSPITAL IMACULADA CONCEICAO
2148315,HOSPITAL E MATERNIDADE PRESIDENTE TANCREDO NEVES
2148463,HOSPITAL DR ARMANDO XAVIER VIEIRA
2148471,HOSPITAL MUNICIPAL SANTO ANTONIO
2149419,HOSPITAL SAO VICENTE DE PAULO RIO POMBA
2149710,HOSPITAL MUNICIPAL E PRONTO SOCORRO DE VARZEA DA PALMA
2149990,HOSPITAL SANTA CASA DE MONTES CLAROS
2151812,HOSPITAL SANTA GENOVEVA
2151820,HOSPITAL E MATERNIDADE SAO FRANCISCO DE PAULA LTDA
2151839,HOSPITAL DO TRIANGULO
2151847,HOSPITAL SANTA MARTA
2151855,HOSPITAL SANTA CATARINA ANEXO HMMDOLC
2151863,CLINICA DOM BOSCO
2151871,HOSPITAL SANTA CLARA
2152940,UAI PAMPULHA UNIDADE DE ATENDIMENTO INTEGRADO IRMA DULCE
2152959,UAI ROOSEVELT DR JOSIAS DE FREITAS
2152967,UAI TIBERY ANICE DIB JATENE
2152991,HOSPITAL DAS CLINICAS DE PATROCINIO LTDA
2153009,UAI PLANALTO DR TUBAL VILELA DA SILVA
2153017,UAI LUIZOTE DR DOMINGOS PIMENTEL DE ULHOA
2153025,HOSPITAL MARIA JOSE BAETA REIS ASCOMCER
2153033,CLINICA SAO DOMINGOS SA
2153041,CLINICA PSIQUIATRICA PINHO MASINI LTDA
2153068,HOSPITAL SAO MARCOS SA
2153076,CASA DE SAUDE ESPERANCA
2153084,HOSPITAL E MATERNIDADE THEREZINHA DE JESUS
2153106,INSTITUTO ONCOLOGICO
2153114,IBG SAUDE
2153882,SANTA CASA DE MISERICORDIA DE JUIZ DE FORA
2154560,HOSPITAL E MATERNIDADE DR EUGENIO GOMES DE CARVALHO
2154749,HOSPITAL SAO JOSE
2154757,HOSPITAL SANTA RITA
2156830,HOSPITAL MUNICIPAL JOSE ANTONIO GUIMARAES
2157063,HOSPITAL WANDA ANDRADE DRUMMOND
2159147,HOSPITAL JENNY NEGRAO DE LIMA DE CORDISBURGO
2159252,HOSPITAL SAO JOAO DE DEUS
2159295,CENTRO INTEGRAL DE SAUDE SAO BENTO MENNI
2159376,HOSPITAL E MATERNIDADE SANTA MONICA
2159384,HOSPITAL SAO JUDAS TADEU
2160498,HOSPITAL MUNICIPAL SAO FRANCISCO
2160951,HOSPITAL SAO LUCAS LTDA
2161354,SANTA CASA DA MISERICORDIA DE SAO JOAO DEL REI
2161575,HOSPITAL SAO VICENTE DE PAULO DE MERCES MATRIZ
2161583,HWSM
2161702,CASA DE CARIDADE SAO VICENTE DE PAULO
2161729,HOSPITAL JORGE CAETANO DE MATTOS
2161966,AMIU
2162377,CASA DE SAUDE SANTA LUCIA LTDA
2163071,HOSPITAL SAO JOSE
2163829,OURO PRETO SANTA CASA DE OURO PRETO
2164280,HOSPITAL MUNICIPAL MADALENA P CALIXTO
2164299,HOSPITAL DE SAO JOAO DE DEUS
2164493,SANTA CASA DE MISERICORDIA DE CONQUISTA
2164612,HOSPITAL REGIONAL DOM BOSCO
2164620,SANTA SANTA CASA DE MISERICORDIA
2164736,HOSPITAL E MATERNIDADE SAO DOMINGOS
2164795,HOSPITAL DA CRIANCA
2164825,HOSPITAL BENEFICENCIA PORTUGUESA
2165058,HOSPITAL DOUTOR HELIO ANGOTTI
2165066,HOSPITAL SANTA LUCIA LTDA
2165481,CASA DE SAUDE SAO JOSE
2165511,HOSPITAL SANTA HELENA
2166305,SANTA CASA DE PERDIZES
2167379,ASSOCIACAO DO HOSPITAL SAO FRANCISCO
2167565,HOSPITAL MUNICIPAL JOAO AMELIO FREIRE
2167573,HOSPITAL E MATERNIDADE FREI FRANCISCO STIENEN
2167670,HOSPITAL E MATERNIDADE SAO PEDRO
2167727,HOSPITAL DE GIMIRIM
2168200,HOSPITAL SAO JOSE PASSABEM
2168243,HOSPITAL MUNICIPAL WALDEMAR DAS DORES
2168383,HOSPITAL SANTA TEREZINHA COROACI
2168421,SANTA CASA DE MISERICORDIA DE AREADO
2168448,HOSPITAL NOSSA SENHORA APARECIDA
2168537,HOSPITAL SANTO ANTONIO DE TEIXEIRAS
2168553,HOSPITAL SAO SEBASTIAO DE RAUL SOARES
2168626,HOSPITAL MUNICIPAL R VILELA OLIVEIRA DE PAINS
2168693,SANTA CASA DE ARCOS
2168707,HOSP SANTA CASA DE BOM DESPACHO
2168731,HOSPITAL NOSSA SENHORA DO CARMO
2169169,OFTALMOCENTRO DE UBERABA
2171635,CLINICA NEUROPSIQUIATRICA DE ALFENAS
2171945,SANTA CASA DE ALFENAS
2171988,HOSPITAL UNIVERSITARIO ALZIRA VELANO
2172259,HOSPITAL BOM JESUS
2172836,HOSPITAL MUNICIPAL SANTA RITA
2172852,SANTA CASA MISERICORDIA DE ALTEROSA
2172860,HOSPITAL MONSENHOR GENESIO
2173166,HOSPITAL CESAR LEITE
2173565,HOSPITAL NOSSA SENHORA DAS MERCES
2178559,HOSPITAL SANTO ANTONIO
2178591,SANTA CASA DE MISERICORDIA DE POMPEU
2178648,HOSPITAL CASA DE CARIDADE SAO SEBASTIAO
2178850,APROMIA
2178982,HOSPITAL LOURENCO WESTIN
2178990,HOSPITAL SAO VICENTE DE PAULO DE POTE
2179148,CLINICA SAO JOSE LTDA
2179172,HOSPITAL MUNICIPAL SAO JOAO BATISTA
2179237,HOSPITAL MUNICIPAL DONA AMELIA MARIA DE SOUZA
2179571,HOSPITAL MUNICIPAL SANTO ANTONIO
2179628,ASILO DE CARIDADE SANTA CASA DE BOM SUCESSO
2180731,HOSPITAL MUNICIPAL DE SANTA JULIANA
2180758,HOSPITAL SANTO ANTONIO
2180766,HOSPITAL CASA DO CAMINHO
2181029,SANTA CASA DE IBIA
2181770,HOSPITAL EDUARDO DE MENEZES
2182610,BELO VALE HOSPITAL E MATERNIDADE HENRIQUE PENIDO SA
2183803,HOSPITAL SAO VICENTE DE PAULO DE AGUAS FORMOSAS
2183811,HOSPITAL SAO BENTO DE NOVO CRUZEIRO
2184680,HOSPITAL MUN DONA MARIA CONCEICAO FANTINI VALERIO
2184834,HOSPITAL BOM SAMARITANO
2185563,HOSPITAL NOSSA SENHORA DOS ANJOS
2186276,SANTA CASA MUNICIPAL DE SAUDE DE PIMENTA
2186292,HOSPITAL NOSSA SENHORA DAS NEVES
2191164,CMI JUVENTINA PAULA DE JESUS COMPLEXO HOSPITALAR
2192012,HOSPITAL SANTA LUCIA DE DIVINOPOLIS
2192020,SANTA CASA DE CAMPO BELO
2192128,SANTA CASA DE SANTO ANTONIO DO AMPARO
2192896,HOSPITAL METROPOLITANO ODILON BEHRENS HOB
2193310,HOSPITAL MUNICIPAL ELIANE MARTINS
2194465,HOSPITAL SAO JOSE DE SAO JOAO DO MANTENINHA
2194651,HOSPITAL SAO SEBASTIAO
2194937,HOSPITAL MUNICIPAL DR DARCY JUAREZ ZABISKY
2195224,HOSPITAL MUNICIPAL DE PIRAPETINGA
2195410,HOSPITAL DR NASCIPE DAHER
2195429,CASA DE SAUDE PADRE DAMIAO
2195437,HOSPITAL SANTA ISABEL
2195453,HOSPITAL DO CANCER DE MURIAE
2195585,CLINICAS INTEGRADAS HOSPITAL UNIVERSITARIO MARIO PALMERIO
2195593,SERVICO INTEGRADO DE SAUDE DONA MARIA MODESTO CRAVO
2196972,HOSPITAL SAO LUCAS
2197693,SANTA CASA DE MISERICORDIA DE COROMANDELDR SEBASTIAO MACHADO
2200414,FUNDACAO HILTON ROCHA
2200422,HOSPITAL MADRE TERESA
2200457,ASSOCIACAO MARIO PENNA
